 01033020   1543794   00971017   20000   24628   1230   7390   -83.5211900   41.6602250   1915   1454 
 01034012   1543114   00941118   30000   14800   560   4620   -83.5228590   41.6590110   1911   1266 
 01034016   1543747   00930406   19500   20114   1300   5740   -83.5224950   41.6596030   1911   1100 
 01035004   1543711   00950517   20000   14428   740   4310   -83.5235360   41.6588940   1910   1188 
 01036018   1543624   00970219   16000   11800   560   3570   -83.5260460   41.6579000   1907   1201 
 01036019   1543627   00971006   28000   18714   1370   5180   -83.5262470   41.6579720   1909   1194 
 01067016   1544294   00961015   4000   5628   600   1370   -83.5284300   41.6582270   1877   1416 
 01069015   1544405   00950221   65000   12914   0   4520   -83.5252120   41.6596860   1907   1674 
 01069022   1544390   00941026   12750   13800   560   4270   -83.5255600   41.6596820   1916   1200 
 01069023   1544387   00940118   12500   13800   560   4270   -83.5254960   41.6597120   1916   1200 
 01070018   1544447   00941027   15000   14628   1160   3960   -83.5235060   41.6604940   1877   1976 
 01071024   1544514   00960605   8000   7114   560   1930   -83.5214930   41.6614880   1897   618 
 01072004   0852617   00960326   36000   20514   770   6410   -83.5190090   41.6624400   1905   1619 
 01072008   0852604   00960408   15500   13628   950   3820   -83.5185630   41.6620610   1907   1294 
 01072014   0852575   00961105   53033   20000   0   7000   -83.5194110   41.6618450   1996   1248 
 01072020   0852554   00980804   53033   1914   670   0   -83.5200510   41.6615420   1997   1248 
 01072034   0852657   00941024   18000   13400   980   3710   -83.5202950   41.6620120   1872   2830 
 01074005   1431727   00960214   39500   14714   390   4760   -83.5178910   41.6640940   1917   1248 
 01074028   1431387   00951122   2000   17400   770   5320   -83.5186080   41.6641020   1900   2057 
 01074031   1428037   00980624   12000   10000   1400   2100   -83.5189110   41.6632060   1900   1233 
 01075015   0852727   00971023   14000   14428   950   4100   -83.5206170   41.6625660   1897   1632 
 01075019   0852714   00980925   5000   8628   950   2070   -83.5210490   41.6623610   1887   1845 
 01075025   0312664   00930709   15000   12914   460   4060   -83.5217050   41.6625990   1902   1872 
 01075027   0312671   00980303   20989   11200   490   3430   -83.5219230   41.6626950   1902   1626 
 01075028   0312644   00970805   6100   6114   670   1470   -83.5215350   41.6627190   1891   1193 
 01075030   0312637   00950118   7500   11628   1020   3050   -83.5213440   41.6628110   1897   3392 
 01076017   1545218   00970812   41783   31314   0   10960   -83.5231690   41.6618730   1996   1080 
 01076018   1545215   00980914   44645   26600   0   9310   -83.5232510   41.6619700   1996   1080 
 01077003   1545201   00950526   9500   6914   630   1790   -83.5237960   41.6615100   1892   830 
 01078025   1545134   00960820   3000   6314   460   1750   -83.5255320   41.6608210   1860   1726 
 01079010   1544697   00980512   3160   5914   530   1540   -83.5269770   41.6595430   1865   1728 
 01080015   1544764   00950828   42000   1914   670   0   -83.5289530   41.6587800   1995   1080 
 01081006   1544795   00970926   39500   15600   0   5460   -83.5296200   41.6582840   1882   3056 
 01081016   1544964   00970403   6000   3914   490   880   -83.5307130   41.6583910   1877   1088 
 01112004   1545744   00950303   14000   6028   460   1650   -83.5304100   41.6595900   1877   1285 
 01112016   1545711   00970708   20000   14514   1050   4030   -83.5313760   41.6591860   1848   4117 
 01112026   1545754   00951114   37170   8714   630   2420   -83.5307080   41.6598130   1892   2096 
 01113023   1545802   00961009   35703   26600   0   9310   -83.5294460   41.6602570   1996   1080 
 01113024   1545804   00980602   1500   12400   770   3570   -83.5293280   41.6603090   1930   872 
 01113026   1545817   00930930   7000   7514   630   2000   -83.5291680   41.6603870   1887   1153 
 01115008   1545384   00951214   42000   11114   1230   2660   -83.5259180   41.6613350   1897   1900 
